08-06-2023 | R$3200.00 | R$3200.00 | R$3411.00 | R$3411.00 |  R$211.00 | 106.59%
08-06-2023 | R$3200.00 | R$812800.00 | R$3411.00 | R$866394.00 |  R$53594.00 | 106.59%
08-06-2023 | R$3200.00 | R$816000.00 | R$3411.00 | R$869805.00 |  R$53805.00 | 106.59%
08-06-2023 | R$3200.00 | R$819200.00 | R$3411.00 | R$873216.00 |  R$54016.00 | 106.59%
08-06-2023 | R$3200.00 | R$822400.00 | R$3411.00 | R$876627.00 |  R$54227.00 | 106.59%
08-06-2023 | R$3200.00 | R$825600.00 | R$3411.00 | R$880038.00 |  R$54438.00 | 106.59%
08-06-2023 | R$3200.00 | R$828800.00 | R$3411.00 | R$883449.00 |  R$54649.00 | 106.59%
08-06-2023 | R$3200.00 | R$832000.00 | R$3411.00 | R$886860.00 |  R$54860.00 | 106.59%
08-06-2023 | R$3200.00 | R$835200.00 | R$3411.00 | R$890271.00 |  R$55071.00 | 106.59%
08-06-2023 | R$3200.00 | R$838400.00 | R$3411.00 | R$893682.00 |  R$55282.00 | 106.59%
08-06-2023 | R$3200.00 | R$841600.00 | R$3411.00 | R$897093.00 |  R$55493.00 | 106.59%
08-06-2023 | R$3200.00 | R$844800.00 | R$3411.00 | R$900504.00 |  R$55704.00 | 106.59%
08-06-2023 | R$3200.00 | R$848000.00 | R$3411.00 | R$903915.00 |  R$55915.00 | 106.59%
08-06-2023 | R$3200.00 | R$851200.00 | R$3411.00 | R$907326.00 |  R$56126.00 | 106.59%
08-06-2023 | R$3200.00 | R$854400.00 | R$3411.00 | R$910737.00 |  R$56337.00 | 106.59%
08-06-2023 | R$3200.00 | R$857600.00 | R$3411.00 | R$914148.00 |  R$56548.00 | 106.59%
08-06-2023 | R$3200.00 | R$860800.00 | R$3411.00 | R$917559.00 |  R$56759.00 | 106.59%
08-06-2023 | R$3200.00 | R$864000.00 | R$3411.00 | R$920970.00 |  R$56970.00 | 106.59%
08-06-2023 | R$3200.00 | R$867200.00 | R$3411.00 | R$924381.00 |  R$57181.00 | 106.59%
08-06-2023 | R$3200.00 | R$870400.00 | R$3411.00 | R$927792.00 |  R$57392.00 | 106.59%
08-06-2023 | R$3200.00 | R$873600.00 | R$3411.00 | R$931203.00 |  R$57603.00 | 106.59%
08-06-2023 | R$3200.00 | R$876800.00 | R$3411.00 | R$934614.00 |  R$57814.00 | 106.59%
08-06-2023 | R$3200.00 | R$880000.00 | R$3411.00 | R$938025.00 |  R$58025.00 | 106.59%
08-06-2023 | R$3200.00 | R$883200.00 | R$3411.00 | R$941436.00 |  R$58236.00 | 106.59%
08-06-2023 | R$3200.00 | R$886400.00 | R$3411.00 | R$944847.00 |  R$58447.00 | 106.59%
08-06-2023 | R$3200.00 | R$889600.00 | R$3411.00 | R$948258.00 |  R$58658.00 | 106.59%
08-06-2023 | R$3200.00 | R$892800.00 | R$3411.00 | R$951669.00 |  R$58869.00 | 106.59%
08-06-2023 | R$3200.00 | R$896000.00 | R$3411.00 | R$955080.00 |  R$59080.00 | 106.59%
08-06-2023 | R$3200.00 | R$899200.00 | R$3411.00 | R$958491.00 |  R$59291.00 | 106.59%
08-06-2023 | R$3200.00 | R$902400.00 | R$3411.00 | R$961902.00 |  R$59502.00 | 106.59%
08-06-2023 | R$3200.00 | R$905600.00 | R$3411.00 | R$965313.00 |  R$59713.00 | 106.59%
08-06-2023 | R$3200.00 | R$908800.00 | R$3411.00 | R$968724.00 |  R$59924.00 | 106.59%
08-06-2023 | R$3200.00 | R$912000.00 | R$3411.00 | R$972135.00 |  R$60135.00 | 106.59%
08-06-2023 | R$3200.00 | R$915200.00 | R$3411.00 | R$975546.00 |  R$60346.00 | 106.59%
08-06-2023 | R$3200.00 | R$918400.00 | R$3411.00 | R$978957.00 |  R$60557.00 | 106.59%
08-06-2023 | R$3200.00 | R$921600.00 | R$3411.00 | R$982368.00 |  R$60768.00 | 106.59%
08-06-2023 | R$3200.00 | R$924800.00 | R$3411.00 | R$985779.00 |  R$60979.00 | 106.59%
08-06-2023 | R$3200.00 | R$928000.00 | R$3411.00 | R$989190.00 |  R$61190.00 | 106.59%
08-06-2023 | R$3200.00 | R$931200.00 | R$3411.00 | R$992601.00 |  R$61401.00 | 106.59%
08-06-2023 | R$3200.00 | R$934400.00 | R$3411.00 | R$996012.00 |  R$61612.00 | 106.59%
08-06-2023 | R$3200.00 | R$937600.00 | R$3411.00 | R$999423.00 |  R$61823.00 | 106.59%
08-06-2023 | R$3200.00 | R$940800.00 | R$3411.00 | R$1002834.00 |  R$62034.00 | 106.59%
08-06-2023 | R$3200.00 | R$944000.00 | R$3411.00 | R$1006245.00 |  R$62245.00 | 106.59%
08-06-2023 | R$3200.00 | R$947200.00 | R$3411.00 | R$1009656.00 |  R$62456.00 | 106.59%
08-06-2023 | R$3200.00 | R$950400.00 | R$3411.00 | R$1013067.00 |  R$62667.00 | 106.59%
08-06-2023 | R$3200.00 | R$953600.00 | R$3411.00 | R$1016478.00 |  R$62878.00 | 106.59%
08-06-2023 | R$3200.00 | R$956800.00 | R$3411.00 | R$1019889.00 |  R$63089.00 | 106.59%
08-06-2023 | R$3200.00 | R$960000.00 | R$3411.00 | R$1023300.00 |  R$63300.00 | 106.59%
08-06-2023 | R$3200.00 | R$963200.00 | R$3411.00 | R$1026711.00 |  R$63511.00 | 106.59%
08-06-2023 | R$3200.00 | R$966400.00 | R$3411.00 | R$1030122.00 |  R$63722.00 | 106.59%
08-06-2023 | R$3200.00 | R$969600.00 | R$3411.00 | R$1033533.00 |  R$63933.00 | 106.59%
08-06-2023 | R$3200.00 | R$972800.00 | R$3411.00 | R$1036944.00 |  R$64144.00 | 106.59%
08-06-2023 | R$3200.00 | R$976000.00 | R$3411.00 | R$1040355.00 |  R$64355.00 | 106.59%
08-06-2023 | R$3200.00 | R$979200.00 | R$3411.00 | R$1043766.00 |  R$64566.00 | 106.59%
08-06-2023 | R$3200.00 | R$982400.00 | R$3411.00 | R$1047177.00 |  R$64777.00 | 106.59%
08-06-2023 | R$3200.00 | R$985600.00 | R$3411.00 | R$1050588.00 |  R$64988.00 | 106.59%
08-06-2023 | R$3200.00 | R$988800.00 | R$3411.00 | R$1053999.00 |  R$65199.00 | 106.59%
08-06-2023 | R$3200.00 | R$992000.00 | R$3411.00 | R$1057410.00 |  R$65410.00 | 106.59%
08-06-2023 | R$3200.00 | R$995200.00 | R$3411.00 | R$1060821.00 |  R$65621.00 | 106.59%
08-06-2023 | R$3200.00 | R$998400.00 | R$3411.00 | R$1064232.00 |  R$65832.00 | 106.59%
08-06-2023 | R$3200.00 | R$1001600.00 | R$3411.00 | R$1067643.00 |  R$66043.00 | 106.59%
08-06-2023 | R$3200.00 | R$1004800.00 | R$3411.00 | R$1071054.00 |  R$66254.00 | 106.59%
08-06-2023 | R$3200.00 | R$1008000.00 | R$3411.00 | R$1074465.00 |  R$66465.00 | 106.59%
08-06-2023 | R$3200.00 | R$1011200.00 | R$3411.00 | R$1077876.00 |  R$66676.00 | 106.59%
08-06-2023 | R$3200.00 | R$1014400.00 | R$3411.00 | R$1081287.00 |  R$66887.00 | 106.59%
08-06-2023 | R$3200.00 | R$1017600.00 | R$3411.00 | R$1084698.00 |  R$67098.00 | 106.59%
08-06-2023 | R$3200.00 | R$1020800.00 | R$3411.00 | R$1088109.00 |  R$67309.00 | 106.59%
08-06-2023 | R$3200.00 | R$1024000.00 | R$3411.00 | R$1091520.00 |  R$67520.00 | 106.59%
08-06-2023 | R$3200.00 | R$1027200.00 | R$3411.00 | R$1094931.00 |  R$67731.00 | 106.59%
08-06-2023 | R$3200.00 | R$1030400.00 | R$3411.00 | R$1098342.00 |  R$67942.00 | 106.59%
08-06-2023 | R$3200.00 | R$1033600.00 | R$3411.00 | R$1101753.00 |  R$68153.00 | 106.59%
08-06-2023 | R$3200.00 | R$1036800.00 | R$3411.00 | R$1105164.00 |  R$68364.00 | 106.59%
08-06-2023 | R$3200.00 | R$1040000.00 | R$3411.00 | R$1108575.00 |  R$68575.00 | 106.59%
08-06-2023 | R$3200.00 | R$1043200.00 | R$3411.00 | R$1111986.00 |  R$68786.00 | 106.59%
08-06-2023 | R$3200.00 | R$1046400.00 | R$3411.00 | R$1115397.00 |  R$68997.00 | 106.59%
08-06-2023 | R$3200.00 | R$1049600.00 | R$3411.00 | R$1118808.00 |  R$69208.00 | 106.59%
08-06-2023 | R$3200.00 | R$1052800.00 | R$3411.00 | R$1122219.00 |  R$69419.00 | 106.59%
08-06-2023 | R$3200.00 | R$1056000.00 | R$3411.00 | R$1125630.00 |  R$69630.00 | 106.59%
08-06-2023 | R$3200.00 | R$1059200.00 | R$3411.00 | R$1129041.00 |  R$69841.00 | 106.59%
08-06-2023 | R$3200.00 | R$1062400.00 | R$3411.00 | R$1132452.00 |  R$70052.00 | 106.59%
08-06-2023 | R$3200.00 | R$1065600.00 | R$3411.00 | R$1135863.00 |  R$70263.00 | 106.59%
08-06-2023 | R$3200.00 | R$1068800.00 | R$3411.00 | R$1139274.00 |  R$70474.00 | 106.59%
08-06-2023 | R$3200.00 | R$1072000.00 | R$3411.00 | R$1142685.00 |  R$70685.00 | 106.59%
08-06-2023 | R$3200.00 | R$1075200.00 | R$3411.00 | R$1146096.00 |  R$70896.00 | 106.59%
08-06-2023 | R$3200.00 | R$1078400.00 | R$3411.00 | R$1149507.00 |  R$71107.00 | 106.59%
08-06-2023 | R$3200.00 | R$1081600.00 | R$3411.00 | R$1152918.00 |  R$71318.00 | 106.59%
08-06-2023 | R$3200.00 | R$1084800.00 | R$3411.00 | R$1156329.00 |  R$71529.00 | 106.59%
08-06-2023 | R$3200.00 | R$1088000.00 | R$3411.00 | R$1159740.00 |  R$71740.00 | 106.59%
08-06-2023 | R$3200.00 | R$1091200.00 | R$3411.00 | R$1163151.00 |  R$71951.00 | 106.59%
08-06-2023 | R$3200.00 | R$1094400.00 | R$3411.00 | R$1166562.00 |  R$72162.00 | 106.59%
08-06-2023 | R$3200.00 | R$1097600.00 | R$3411.00 | R$1169973.00 |  R$72373.00 | 106.59%
08-06-2023 | R$3200.00 | R$1100800.00 | R$3411.00 | R$1173384.00 |  R$72584.00 | 106.59%
08-06-2023 | R$3200.00 | R$1104000.00 | R$3411.00 | R$1176795.00 |  R$72795.00 | 106.59%
08-06-2023 | R$3200.00 | R$1107200.00 | R$3411.00 | R$1180206.00 |  R$73006.00 | 106.59%
08-06-2023 | R$3200.00 | R$1110400.00 | R$3411.00 | R$1183617.00 |  R$73217.00 | 106.59%
08-06-2023 | R$3200.00 | R$1113600.00 | R$3411.00 | R$1187028.00 |  R$73428.00 | 106.59%
08-06-2023 | R$3200.00 | R$1116800.00 | R$3411.00 | R$1190439.00 |  R$73639.00 | 106.59%
08-06-2023 | R$3200.00 | R$1120000.00 | R$3411.00 | R$1193850.00 |  R$73850.00 | 106.59%
08-06-2023 | R$3200.00 | R$1123200.00 | R$3411.00 | R$1197261.00 |  R$74061.00 | 106.59%
08-06-2023 | R$3200.00 | R$1126400.00 | R$3411.00 | R$1200672.00 |  R$74272.00 | 106.59%
08-06-2023 | R$3200.00 | R$1129600.00 | R$3411.00 | R$1204083.00 |  R$74483.00 | 106.59%
08-06-2023 | R$3200.00 | R$1132800.00 | R$3411.00 | R$1207494.00 |  R$74694.00 | 106.59%
08-06-2023 | R$3200.00 | R$1136000.00 | R$3411.00 | R$1210905.00 |  R$74905.00 | 106.59%
08-06-2023 | R$3200.00 | R$1139200.00 | R$3411.00 | R$1214316.00 |  R$75116.00 | 106.59%
08-06-2023 | R$3200.00 | R$1142400.00 | R$3411.00 | R$1217727.00 |  R$75327.00 | 106.59%
08-06-2023 | R$3200.00 | R$1145600.00 | R$3411.00 | R$1221138.00 |  R$75538.00 | 106.59%
08-06-2023 | R$3200.00 | R$1148800.00 | R$3411.00 | R$1224549.00 |  R$75749.00 | 106.59%
08-06-2023 | R$3200.00 | R$1152000.00 | R$3411.00 | R$1227960.00 |  R$75960.00 | 106.59%
08-06-2023 | R$3200.00 | R$1155200.00 | R$3411.00 | R$1231371.00 |  R$76171.00 | 106.59%
08-06-2023 | R$3200.00 | R$1158400.00 | R$3411.00 | R$1234782.00 |  R$76382.00 | 106.59%
08-06-2023 | R$3200.00 | R$1161600.00 | R$3411.00 | R$1238193.00 |  R$76593.00 | 106.59%
08-06-2023 | R$3200.00 | R$1164800.00 | R$3411.00 | R$1241604.00 |  R$76804.00 | 106.59%
08-06-2023 | R$3200.00 | R$1168000.00 | R$3411.00 | R$1245015.00 |  R$77015.00 | 106.59%
08-06-2023 | R$3200.00 | R$1171200.00 | R$3411.00 | R$1248426.00 |  R$77226.00 | 106.59%
08-06-2023 | R$3200.00 | R$1174400.00 | R$3411.00 | R$1251837.00 |  R$77437.00 | 106.59%
08-06-2023 | R$3200.00 | R$1177600.00 | R$3411.00 | R$1255248.00 |  R$77648.00 | 106.59%
08-06-2023 | R$3200.00 | R$1180800.00 | R$3411.00 | R$1258659.00 |  R$77859.00 | 106.59%
08-06-2023 | R$3200.00 | R$1184000.00 | R$3411.00 | R$1262070.00 |  R$78070.00 | 106.59%
08-06-2023 | R$3200.00 | R$1187200.00 | R$3411.00 | R$1265481.00 |  R$78281.00 | 106.59%
08-06-2023 | R$3200.00 | R$1190400.00 | R$3411.00 | R$1268892.00 |  R$78492.00 | 106.59%
08-06-2023 | R$3200.00 | R$1193600.00 | R$3411.00 | R$1272303.00 |  R$78703.00 | 106.59%
08-06-2023 | R$3200.00 | R$1196800.00 | R$3411.00 | R$1275714.00 |  R$78914.00 | 106.59%
08-06-2023 | R$3200.00 | R$1200000.00 | R$3411.00 | R$1279125.00 |  R$79125.00 | 106.59%
08-06-2023 | R$3200.00 | R$1203200.00 | R$3411.00 | R$1282536.00 |  R$79336.00 | 106.59%
08-06-2023 | R$3200.00 | R$1206400.00 | R$3411.00 | R$1285947.00 |  R$79547.00 | 106.59%
08-06-2023 | R$3200.00 | R$1209600.00 | R$3411.00 | R$1289358.00 |  R$79758.00 | 106.59%
08-06-2023 | R$3200.00 | R$1212800.00 | R$3411.00 | R$1292769.00 |  R$79969.00 | 106.59%
08-06-2023 | R$3200.00 | R$1216000.00 | R$3411.00 | R$1296180.00 |  R$80180.00 | 106.59%
08-06-2023 | R$3200.00 | R$1219200.00 | R$3411.00 | R$1299591.00 |  R$80391.00 | 106.59%
08-06-2023 | R$3200.00 | R$1222400.00 | R$3411.00 | R$1303002.00 |  R$80602.00 | 106.59%
08-06-2023 | R$3200.00 | R$1225600.00 | R$3411.00 | R$1306413.00 |  R$80813.00 | 106.59%
08-06-2023 | R$3200.00 | R$1228800.00 | R$3411.00 | R$1309824.00 |  R$81024.00 | 106.59%
08-06-2023 | R$3200.00 | R$1232000.00 | R$3411.00 | R$1313235.00 |  R$81235.00 | 106.59%
08-06-2023 | R$3200.00 | R$1235200.00 | R$3411.00 | R$1316646.00 |  R$81446.00 | 106.59%
08-06-2023 | R$3200.00 | R$1238400.00 | R$3411.00 | R$1320057.00 |  R$81657.00 | 106.59%
08-06-2023 | R$3200.00 | R$1241600.00 | R$3411.00 | R$1323468.00 |  R$81868.00 | 106.59%
08-06-2023 | R$3200.00 | R$1244800.00 | R$3411.00 | R$1326879.00 |  R$82079.00 | 106.59%
08-06-2023 | R$3200.00 | R$1248000.00 | R$3411.00 | R$1330290.00 |  R$82290.00 | 106.59%
08-06-2023 | R$3200.00 | R$1251200.00 | R$3411.00 | R$1333701.00 |  R$82501.00 | 106.59%
08-06-2023 | R$3200.00 | R$1254400.00 | R$3411.00 | R$1337112.00 |  R$82712.00 | 106.59%
08-06-2023 | R$3200.00 | R$1257600.00 | R$3411.00 | R$1340523.00 |  R$82923.00 | 106.59%
08-06-2023 | R$3200.00 | R$1260800.00 | R$3411.00 | R$1343934.00 |  R$83134.00 | 106.59%
08-06-2023 | R$3200.00 | R$1264000.00 | R$3411.00 | R$1347345.00 |  R$83345.00 | 106.59%
08-06-2023 | R$3200.00 | R$1267200.00 | R$3411.00 | R$1350756.00 |  R$83556.00 | 106.59%
08-06-2023 | R$3200.00 | R$1270400.00 | R$3411.00 | R$1354167.00 |  R$83767.00 | 106.59%
08-06-2023 | R$3200.00 | R$1273600.00 | R$3411.00 | R$1357578.00 |  R$83978.00 | 106.59%
08-06-2023 | R$3200.00 | R$1276800.00 | R$3411.00 | R$1360989.00 |  R$84189.00 | 106.59%
08-06-2023 | R$3200.00 | R$1280000.00 | R$3411.00 | R$1364400.00 |  R$84400.00 | 106.59%
08-06-2023 | R$3200.00 | R$1283200.00 | R$3411.00 | R$1367811.00 |  R$84611.00 | 106.59%
08-06-2023 | R$3200.00 | R$1286400.00 | R$3411.00 | R$1371222.00 |  R$84822.00 | 106.59%
08-06-2023 | R$3200.00 | R$1289600.00 | R$3411.00 | R$1374633.00 |  R$85033.00 | 106.59%
08-06-2023 | R$3200.00 | R$1292800.00 | R$3411.00 | R$1378044.00 |  R$85244.00 | 106.59%
08-06-2023 | R$3200.00 | R$1296000.00 | R$3411.00 | R$1381455.00 |  R$85455.00 | 106.59%
08-06-2023 | R$3200.00 | R$1299200.00 | R$3411.00 | R$1384866.00 |  R$85666.00 | 106.59%
08-06-2023 | R$3200.00 | R$1302400.00 | R$3411.00 | R$1388277.00 |  R$85877.00 | 106.59%
08-06-2023 | R$3200.00 | R$1305600.00 | R$3411.00 | R$1391688.00 |  R$86088.00 | 106.59%
08-06-2023 | R$3200.00 | R$1308800.00 | R$3411.00 | R$1395099.00 |  R$86299.00 | 106.59%
08-06-2023 | R$3200.00 | R$1312000.00 | R$3411.00 | R$1398510.00 |  R$86510.00 | 106.59%
08-06-2023 | R$3200.00 | R$1315200.00 | R$3411.00 | R$1401921.00 |  R$86721.00 | 106.59%
08-06-2023 | R$3200.00 | R$1318400.00 | R$3411.00 | R$1405332.00 |  R$86932.00 | 106.59%
08-06-2023 | R$3200.00 | R$1321600.00 | R$3411.00 | R$1408743.00 |  R$87143.00 | 106.59%
08-06-2023 | R$3200.00 | R$1324800.00 | R$3411.00 | R$1412154.00 |  R$87354.00 | 106.59%
08-06-2023 | R$3200.00 | R$1328000.00 | R$3411.00 | R$1415565.00 |  R$87565.00 | 106.59%
08-06-2023 | R$3200.00 | R$1331200.00 | R$3411.00 | R$1418976.00 |  R$87776.00 | 106.59%
08-06-2023 | R$3200.00 | R$1334400.00 | R$3411.00 | R$1422387.00 |  R$87987.00 | 106.59%
08-06-2023 | R$3200.00 | R$1337600.00 | R$3411.00 | R$1425798.00 |  R$88198.00 | 106.59%
08-06-2023 | R$3200.00 | R$1340800.00 | R$3411.00 | R$1429209.00 |  R$88409.00 | 106.59%
08-06-2023 | R$3200.00 | R$1344000.00 | R$3411.00 | R$1432620.00 |  R$88620.00 | 106.59%
08-06-2023 | R$3200.00 | R$1347200.00 | R$3411.00 | R$1436031.00 |  R$88831.00 | 106.59%
08-06-2023 | R$3200.00 | R$1350400.00 | R$3411.00 | R$1439442.00 |  R$89042.00 | 106.59%
08-06-2023 | R$3200.00 | R$1353600.00 | R$3411.00 | R$1442853.00 |  R$89253.00 | 106.59%
08-06-2023 | R$3200.00 | R$1356800.00 | R$3411.00 | R$1446264.00 |  R$89464.00 | 106.59%
08-06-2023 | R$3200.00 | R$1360000.00 | R$3411.00 | R$1449675.00 |  R$89675.00 | 106.59%
08-06-2023 | R$3200.00 | R$1363200.00 | R$3411.00 | R$1453086.00 |  R$89886.00 | 106.59%
08-06-2023 | R$3200.00 | R$1366400.00 | R$3411.00 | R$1456497.00 |  R$90097.00 | 106.59%
08-06-2023 | R$3200.00 | R$1369600.00 | R$3411.00 | R$1459908.00 |  R$90308.00 | 106.59%
08-06-2023 | R$3200.00 | R$1372800.00 | R$3411.00 | R$1463319.00 |  R$90519.00 | 106.59%
08-06-2023 | R$3200.00 | R$1376000.00 | R$3411.00 | R$1466730.00 |  R$90730.00 | 106.59%
08-06-2023 | R$3200.00 | R$1379200.00 | R$3411.00 | R$1470141.00 |  R$90941.00 | 106.59%
08-06-2023 | R$3200.00 | R$1382400.00 | R$3411.00 | R$1473552.00 |  R$91152.00 | 106.59%
08-06-2023 | R$3200.00 | R$1385600.00 | R$3411.00 | R$1476963.00 |  R$91363.00 | 106.59%
08-06-2023 | R$3200.00 | R$1388800.00 | R$3411.00 | R$1480374.00 |  R$91574.00 | 106.59%
08-06-2023 | R$3200.00 | R$1392000.00 | R$3411.00 | R$1483785.00 |  R$91785.00 | 106.59%
08-06-2023 | R$3200.00 | R$1395200.00 | R$3411.00 | R$1487196.00 |  R$91996.00 | 106.59%
08-06-2023 | R$3200.00 | R$1398400.00 | R$3411.00 | R$1490607.00 |  R$92207.00 | 106.59%
08-06-2023 | R$3200.00 | R$1401600.00 | R$3411.00 | R$1494018.00 |  R$92418.00 | 106.59%
08-06-2023 | R$3200.00 | R$1404800.00 | R$3411.00 | R$1497429.00 |  R$92629.00 | 106.59%
08-06-2023 | R$3200.00 | R$1408000.00 | R$3411.00 | R$1500840.00 |  R$92840.00 | 106.59%
08-06-2023 | R$3200.00 | R$1411200.00 | R$3411.00 | R$1504251.00 |  R$93051.00 | 106.59%
08-06-2023 | R$3200.00 | R$1414400.00 | R$3411.00 | R$1507662.00 |  R$93262.00 | 106.59%
08-06-2023 | R$3200.00 | R$1417600.00 | R$3411.00 | R$1511073.00 |  R$93473.00 | 106.59%
08-06-2023 | R$3200.00 | R$1420800.00 | R$3411.00 | R$1514484.00 |  R$93684.00 | 106.59%
08-06-2023 | R$3200.00 | R$1424000.00 | R$3411.00 | R$1517895.00 |  R$93895.00 | 106.59%
08-06-2023 | R$3200.00 | R$1427200.00 | R$3411.00 | R$1521306.00 |  R$94106.00 | 106.59%
08-06-2023 | R$3200.00 | R$1430400.00 | R$3411.00 | R$1524717.00 |  R$94317.00 | 106.59%
08-06-2023 | R$3200.00 | R$1433600.00 | R$3411.00 | R$1528128.00 |  R$94528.00 | 106.59%
08-06-2023 | R$3200.00 | R$1436800.00 | R$3411.00 | R$1531539.00 |  R$94739.00 | 106.59%
08-06-2023 | R$3200.00 | R$1440000.00 | R$3411.00 | R$1534950.00 |  R$94950.00 | 106.59%
08-06-2023 | R$3200.00 | R$1443200.00 | R$3411.00 | R$1538361.00 |  R$95161.00 | 106.59%
08-06-2023 | R$3200.00 | R$1446400.00 | R$3411.00 | R$1541772.00 |  R$95372.00 | 106.59%
08-06-2023 | R$3200.00 | R$1449600.00 | R$3411.00 | R$1545183.00 |  R$95583.00 | 106.59%
08-06-2023 | R$3200.00 | R$1452800.00 | R$3411.00 | R$1548594.00 |  R$95794.00 | 106.59%
08-06-2023 | R$3200.00 | R$1456000.00 | R$3411.00 | R$1552005.00 |  R$96005.00 | 106.59%
08-06-2023 | R$3200.00 | R$1459200.00 | R$3411.00 | R$1555416.00 |  R$96216.00 | 106.59%
08-06-2023 | R$3200.00 | R$1462400.00 | R$3411.00 | R$1558827.00 |  R$96427.00 | 106.59%
08-06-2023 | R$3200.00 | R$1465600.00 | R$3411.00 | R$1562238.00 |  R$96638.00 | 106.59%
08-06-2023 | R$3200.00 | R$1468800.00 | R$3411.00 | R$1565649.00 |  R$96849.00 | 106.59%
08-06-2023 | R$3200.00 | R$1472000.00 | R$3411.00 | R$1569060.00 |  R$97060.00 | 106.59%
08-06-2023 | R$3200.00 | R$1475200.00 | R$3411.00 | R$1572471.00 |  R$97271.00 | 106.59%
08-06-2023 | R$3200.00 | R$1478400.00 | R$3411.00 | R$1575882.00 |  R$97482.00 | 106.59%
08-06-2023 | R$3200.00 | R$1481600.00 | R$3411.00 | R$1579293.00 |  R$97693.00 | 106.59%
08-06-2023 | R$3200.00 | R$1484800.00 | R$3411.00 | R$1582704.00 |  R$97904.00 | 106.59%
08-06-2023 | R$3200.00 | R$1488000.00 | R$3411.00 | R$1586115.00 |  R$98115.00 | 106.59%
08-06-2023 | R$3200.00 | R$1491200.00 | R$3411.00 | R$1589526.00 |  R$98326.00 | 106.59%
08-06-2023 | R$3200.00 | R$1494400.00 | R$3411.00 | R$1592937.00 |  R$98537.00 | 106.59%
08-06-2023 | R$3200.00 | R$1497600.00 | R$3411.00 | R$1596348.00 |  R$98748.00 | 106.59%
08-06-2023 | R$3200.00 | R$1500800.00 | R$3411.00 | R$1599759.00 |  R$98959.00 | 106.59%
08-06-2023 | R$3200.00 | R$1504000.00 | R$3411.00 | R$1603170.00 |  R$99170.00 | 106.59%
08-06-2023 | R$3200.00 | R$1507200.00 | R$3411.00 | R$1606581.00 |  R$99381.00 | 106.59%
08-06-2023 | R$3200.00 | R$1510400.00 | R$3411.00 | R$1609992.00 |  R$99592.00 | 106.59%
08-06-2023 | R$3200.00 | R$1513600.00 | R$3411.00 | R$1613403.00 |  R$99803.00 | 106.59%
08-06-2023 | R$3200.00 | R$1516800.00 | R$3411.00 | R$1616814.00 |  R$100014.00 | 106.59%
08-06-2023 | R$3200.00 | R$1520000.00 | R$3411.00 | R$1620225.00 |  R$100225.00 | 106.59%
08-06-2023 | R$3200.00 | R$1523200.00 | R$3411.00 | R$1623636.00 |  R$100436.00 | 106.59%
08-06-2023 | R$3200.00 | R$1526400.00 | R$3411.00 | R$1627047.00 |  R$100647.00 | 106.59%
08-06-2023 | R$3200.00 | R$1529600.00 | R$3411.00 | R$1630458.00 |  R$100858.00 | 106.59%
08-06-2023 | R$3200.00 | R$1532800.00 | R$3411.00 | R$1633869.00 |  R$101069.00 | 106.59%
08-06-2023 | R$3200.00 | R$1536000.00 | R$3411.00 | R$1637280.00 |  R$101280.00 | 106.59%
08-06-2023 | R$3200.00 | R$1539200.00 | R$3411.00 | R$1640691.00 |  R$101491.00 | 106.59%
08-06-2023 | R$3200.00 | R$1542400.00 | R$3411.00 | R$1644102.00 |  R$101702.00 | 106.59%
08-06-2023 | R$3200.00 | R$1545600.00 | R$3411.00 | R$1647513.00 |  R$101913.00 | 106.59%
08-06-2023 | R$3200.00 | R$1548800.00 | R$3411.00 | R$1650924.00 |  R$102124.00 | 106.59%
08-06-2023 | R$3200.00 | R$1552000.00 | R$3411.00 | R$1654335.00 |  R$102335.00 | 106.59%
08-06-2023 | R$3200.00 | R$1555200.00 | R$3411.00 | R$1657746.00 |  R$102546.00 | 106.59%
08-06-2023 | R$3200.00 | R$1558400.00 | R$3411.00 | R$1661157.00 |  R$102757.00 | 106.59%
08-06-2023 | R$3200.00 | R$1561600.00 | R$3411.00 | R$1664568.00 |  R$102968.00 | 106.59%
08-06-2023 | R$3200.00 | R$1564800.00 | R$3411.00 | R$1667979.00 |  R$103179.00 | 106.59%
08-06-2023 | R$3200.00 | R$1568000.00 | R$3411.00 | R$1671390.00 |  R$103390.00 | 106.59%
08-06-2023 | R$3200.00 | R$1571200.00 | R$3411.00 | R$1674801.00 |  R$103601.00 | 106.59%
08-06-2023 | R$3200.00 | R$1574400.00 | R$3411.00 | R$1678212.00 |  R$103812.00 | 106.59%
08-06-2023 | R$3200.00 | R$1577600.00 | R$3411.00 | R$1681623.00 |  R$104023.00 | 106.59%
08-06-2023 | R$3200.00 | R$1580800.00 | R$3411.00 | R$1685034.00 |  R$104234.00 | 106.59%
08-06-2023 | R$3200.00 | R$1584000.00 | R$3411.00 | R$1688445.00 |  R$104445.00 | 106.59%
08-06-2023 | R$3200.00 | R$1587200.00 | R$3411.00 | R$1691856.00 |  R$104656.00 | 106.59%
08-06-2023 | R$3200.00 | R$1590400.00 | R$3411.00 | R$1695267.00 |  R$104867.00 | 106.59%
08-06-2023 | R$3200.00 | R$1593600.00 | R$3411.00 | R$1698678.00 |  R$105078.00 | 106.59%
08-06-2023 | R$3200.00 | R$1596800.00 | R$3411.00 | R$1702089.00 |  R$105289.00 | 106.59%
